Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782762471,109,,Aggregated,575.300000,570.700000,5,6,6,7,9,13,44,48,70,95,150,43876,43328,5,6.483659289800751,1.262400000996422,150.80869999655988,110.46861609991795
1782762472,109,,Aggregated,572.700000,568.500000,5,6,6,7,9,13,44,48,70,95,150,44469,43914,5,6.477718347598361,1.262400000996422,150.80869999655988,110.67674110054195
1782762473,109,,Aggregated,570.700000,566.900000,5,6,6,7,9,13,44,48,70,95,150,45055,44493,5,6.478906183538818,1.262400000996422,150.80869999655988,110.22869825768505
1782762474,109,,Aggregated,574.800000,571.200000,5,6,6,7,9,13,44,48,70,95,150,45630,45068,5,6.462892086334785,1.262400000996422,150.80869999655988,109.8099715099715
1782762475,109,,Aggregated,579.200000,575.200000,5,6,6,7,9,13,44,48,70,95,150,46166,45599,5,6.461086678498071,1.262400000996422,150.80869999655988,110.79183814928736
1782762476,109,,Aggregated,579.900000,576.100000,5,6,6,7,9,13,44,48,70,95,150,46713,46137,5,6.460554682840007,1.262400000996422,150.80869999655988,111.09382827050285
1782762477,109,,Aggregated,575.400000,572.100000,5,6,6,7,9,13,44,48,70,95,150,47341,46760,5,6.472661699151756,1.262400000996422,150.80869999655988,110.63731226632306
1782762478,109,,Aggregated,575.200000,571.200000,5,6,6,7,9,13,44,48,70,95,150,47916,47332,5,6.479945398187729,1.262400000996422,150.80869999655988,110.91677101594458
1782762479,109,,Aggregated,576.700000,572.300000,5,6,6,7,9,13,44,48,70,95,150,48465,47879,5,6.478892202611415,1.262400000996422,150.80869999655988,110.6180129990715
1782762480,109,,Aggregated,580.500000,576.000000,5,6,6,7,9,13,44,48,71,95,150,48995,48400,5,6.475399855078682,1.262400000996422,150.80869999655988,110.31323604449433
